MeterNo,IsSuccessful,CompletedOn
CRYT3041281,True,2025-22-04 14:22:35,
CRYT3068523,True,2025-22-04 14:22:29,
CRYT3318743,True,2025-22-04 14:22:29,
CRYT3065231,False,2025-23-04 14:23:27,Id_426 CRYT3065231 Could not open tcp connection
CRYT3069568,True,2025-22-04 14:22:30,
CRYT3070547,True,2025-22-04 14:22:30,
CRYT3069149,True,2025-22-04 14:22:30,
CRYT3158786,False,2025-23-04 14:23:29,Id_430 CRYT3158786 Could not open tcp connection
CRYT3163202,True,2025-22-04 14:22:31,
CRYT3074633,True,2025-22-04 14:22:30,
CRYT3159046,True,2025-22-04 14:22:30,
CRYT3162920,True,2025-22-04 14:22:31,
CRYT3161067,True,2025-22-04 14:22:31,
CRYT3153195,True,2025-22-04 14:22:31,
CRYT3018644,True,2025-22-04 14:22:39,
CRYT3033707,True,2025-22-04 14:22:32,
CRYT3027205,True,2025-22-04 14:22:32,
CRYT3067843,True,2025-22-04 14:22:32,
CRYT3033713,False,2025-23-04 14:23:30,Id_441 CRYT3033713 Could not open tcp connection
CRYT3070068,True,2025-22-04 14:22:40,
CRYT3156732,True,2025-22-04 14:22:33,
CRYT3040280,True,2025-22-04 14:22:33,
CRYT3029357,True,2025-22-04 14:22:34,
CRYT3159015,True,2025-22-04 14:22:33,
CRYT3159429,False,2025-23-04 14:23:32,Id_447 CRYT3159429 Could not open tcp connection
CRYT3157880,True,2025-22-04 14:22:34,
CRYT3151982,True,2025-22-04 14:22:34,
CRYT3151044,True,2025-22-04 14:22:41,
CRYT3044872,True,2025-22-04 14:22:35,
CRYT3016375,False,2025-23-04 14:23:33,Id_452 CRYT3016375 Could not open tcp connection
CRYT3073099,True,2025-22-04 14:22:41,
CRYT3031462,True,2025-22-04 14:22:42,
CRYT3065284,False,2025-23-04 14:23:34,Id_455 CRYT3065284 Could not open tcp connection
CRYT3066722,False,2025-23-04 14:23:34,Id_456 CRYT3066722 Could not open tcp connection
CRYT3029648,True,2025-22-04 14:22:36,
CRYT3042843,False,2025-23-04 14:23:34,Id_458 CRYT3042843 Could not open tcp connection
CRYT3042178,True,2025-22-04 14:22:36,
CRYT3036459,True,2025-22-04 14:22:37,
CRYT3073139,True,2025-22-04 14:22:38,
CRYT3072013,True,2025-22-04 14:22:37,
CRYT3032127,True,2025-22-04 14:22:44,
CRYT3028496,True,2025-22-04 14:22:40,
CRYT3043532,True,2025-22-04 14:22:39,
CRYT3044697,True,2025-22-04 14:22:41,
CRYT3164253,True,2025-22-04 14:22:39,
CRYT3074898,False,2025-23-04 14:23:38,Id_468 CRYT3074898 Could not open tcp connection
CRYT3163051,True,2025-22-04 14:22:41,
CRYT3157259,True,2025-22-04 14:22:48,
CRYT3154288,True,2025-22-04 14:22:41,
CRYT3164408,True,2025-22-04 14:22:41,
CRYT3031639,True,2025-22-04 14:22:41,
CRYT3019043,True,2025-22-04 14:22:49,
CRYT3036628,True,2025-22-04 14:22:49,
CRYT3043992,True,2025-22-04 14:22:43,
CRYT3028355,True,2025-22-04 14:22:43,
CRYT3068498,True,2025-22-04 14:22:42,
CRYT3028281,True,2025-22-04 14:22:42,
CRYT3043184,True,2025-22-04 14:22:42,
CRYT3032620,True,2025-22-04 14:22:43,
CRYT3071043,True,2025-22-04 14:22:42,
CRYT3041229,True,2025-22-04 14:22:43,
CRYT3069040,True,2025-22-04 14:22:43,
CRYT3065780,True,2025-22-04 14:22:44,
CRYT3066084,True,2025-22-04 14:22:43,
CRYT3068423,True,2025-22-04 14:22:44,
CRYT3158308,True,2025-22-04 14:22:44,
CRYT3306636,True,2025-22-04 14:22:44,
CRYT3019123,True,2025-22-04 14:22:44,
CRYT3037771,True,2025-22-04 14:22:45,
CRYT3035285,True,2025-22-04 14:22:45,
CRYT3019941,True,2025-22-04 14:22:45,
CRYT3154435,True,2025-22-04 14:22:59,
CRYT3074867,True,2025-22-04 14:22:46,
CRYT3015217,True,2025-22-04 14:22:45,
CRYT3026158,True,2025-22-04 14:22:46,
CRYT3041727,True,2025-22-04 14:22:46,
CRYT3157523,True,2025-22-04 14:22:46,
